id,dates,hour,psi
686,2017-12-29,14,12
687,2017-12-29,15,13
688,2017-12-29,16,14
689,2017-12-29,17,15
690,2017-12-29,18,15
691,2017-12-29,19,15
692,2017-12-29,20,14
693,2017-12-29,21,13
694,2017-12-29,22,11
695,2017-12-29,23,11
696,2017-12-30,0,10
697,2017-12-30,1,10
698,2017-12-30,2,9
699,2017-12-30,3,9
700,2017-12-30,4,9
701,2017-12-30,5,9
702,2017-12-30,6,9
703,2017-12-30,7,9
704,2017-12-30,8,8
705,2017-12-30,9,7
706,2017-12-30,10,7
707,2017-12-30,11,7
708,2017-12-30,12,7
709,2017-12-30,13,8
710,2017-12-30,14,9
711,2017-12-30,15,10
712,2017-12-30,16,11
713,2017-12-30,17,11
714,2017-12-30,18,12
715,2017-12-30,19,12
716,2017-12-30,20,11
717,2017-12-30,21,10
718,2017-12-30,22,9
719,2017-12-30,23,8
